use_id,plant_id,raw_record_id,cesky_nazev_display,cast_rostliny_text,cast_rostliny_kategorie,cast_rostliny_je_kombinovana,domena,domena_slug,poddomena_text,poddomena_kategorie,status_znalosti,status_znalosti_slug,aplikovatelnost_v_cr,aplikovatelnost_slug,typicke_lokality_text,obdobi_ziskani_text,mesic_od,mesic_do,fenologicka_faze,zpusob_pripravy,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial_text,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_cr,dukaznost_typ,dukaznost_skore,dukaznost_rank,ma_druhy_zdroj,je_trvanlive_1m_plus,je_v_jadru_bezne_1m_plus,processing_methods_text,processing_methods_count,ma_potravinove_konzervacni_metody,sber_doporuceni,kuratorska_poznamka
r036,plant_matricaria_recutita,R036,heřmánek pravý,květ,kvetni_cast,False,vůně,vune,koupel / napařování / aromatický polštářek,vune_a_vykurovani,méně známé,mene_zname,vysoká,vysoka,"zahrady, pole, slunné okraje",V–VIII,5,8,čerstvé nebo dobře usušené květy,"Květy využít do koupelí, napařování nebo do suchých aromatických směsí.",Jemně uklidňující domácí vůně a bylinná pára.,neaplikovatelné,"sladce květový, medově bylinný",neaplikovatelné,U citlivých osob může dráždit nebo alergizovat.,Opatrnost u alergiků; nepřehřívat při inhalaci.,Běžně možné.,EMA monografie,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: čerstvé nebo dobře usušené květy; v datech je pro něj vedené období V–VIII. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Zvlášť vhodné pro sekci „vůně“, protože jde o praktické domácí použití mimo pití."
r037,plant_melissa_officinalis,R037,meduňka lékařská,list,listova_nadzemni_cast,False,pití,piti,nálev / čaj,caj_nalev,mainstream,mainstream,vysoká,vysoka,"zahrady, bylinkové záhony, občas okolí sídel",VI–IX,6,9,před květem a během květu,"Sbírat listy a vrcholky, sušit rychle ve stínu; připravit nálev.",Citronově aromatický nápoj pro večerní a relaxační užití.,"citronově bylinný, jemný","citronový, svěže zelený",neaplikovatelné,Při špatném sušení rychle ztrácí aroma.,Bez hlavních interakcí známých v běžném čajovém užití; u citlivých osob individuální reakce.,Pěstování i sběr z pěstovaných porostů bez problému.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: před květem a během květu; v datech je pro něj vedené období VI–IX. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Prakticky velmi vhodná pro domácí pěstování.
r038,plant_melissa_officinalis,R038,meduňka lékařská,list,listova_nadzemni_cast,False,fytoterapie,fytoterapie,nálev / extrakt,caj_nalev,mainstream,mainstream,vysoká,vysoka,"zahrady, bylinkové záhony",VI–IX,6,9,olistěná nať před nebo během květu,Krátkodobé užití jako čaj nebo standardizovanější přípravek.,"Tradičně pro mírný stres, podporu spánku a drobné dyspeptické potíže.",jemně bylinný,citronově bylinný,neaplikovatelné,"Nenahrazuje řešení výraznější úzkosti, nespavosti ani závažných GI potíží.",Při přetrvávání obtíží vyšetřit příčinu.,Běžně pěstovaná bylina.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: olistěná nať před nebo během květu; v datech je pro něj vedené období VI–IX. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Dobře doložená a zároveň snadno dostupná v českých podmínkách.
r039,plant_mentha_x_piperita,R039,máta peprná,list,listova_nadzemni_cast,False,pití,piti,nálev / čaj,caj_nalev,mainstream,mainstream,vysoká,vysoka,"zahrady, vlhčí záhony, občas zplaňuje u sídel a vod",VI–IX,6,9,před květem a v době květu,"Sbírat list nebo nať, rychle sušit; připravit nálev.","Osvěžující aromatický nápoj, vhodný i do směsí.","chladivý, mentolový",mentolově bylinný,neaplikovatelné,Příliš starý materiál ztrácí aroma; silná chuť nevyhovuje každému.,U refluxu nebo citlivého žaludku může být individuálně nevhodná.,Pěstování bez problému.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: před květem a v době květu; v datech je pro něj vedené období VI–IX. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Silná kombinace pití a léčebného užití.
r040,plant_mentha_x_piperita,R040,máta peprná,list,listova_nadzemni_cast,False,fytoterapie,fytoterapie,nálev / bylinný přípravek,caj_nalev,mainstream,mainstream,vysoká,vysoka,"zahrady, bylinkové záhony, vlhčí místa u sídel",VI–IX,6,9,olistěná nať před květem a při květu,Krátkodobé užití jako čaj nebo standardizovaný listový přípravek.,Tradiční úleva při dyspepsii a plynatosti.,chladivý,mentolový,neaplikovatelné,Nevhodná jako univerzální řešení závažných nebo nejasných zažívacích potíží.,Opatrnost při individuální intoleranci; při přetrvávání obtíží lékař.,Bez zvláštních právních omezení.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: olistěná nať před květem a při květu; v datech je pro něj vedené období VI–IX. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Zapsáno odděleně od běžného čajového užití.
r041,plant_plantago_lanceolata,R041,jitrocel kopinatý,list,listova_nadzemni_cast,False,fytoterapie,fytoterapie,nálev / macerát / sirup,caj_nalev,mainstream,mainstream,vysoká,vysoka,"louky, cesty, pastviny, trávníky, meze",IV–IX,4,9,mladé až plně vyvinuté listy,"Čaj, macerát nebo sirup podle typu použití.",Tradiční úleva při kašli spojeném s nachlazením a podráždění dutiny ústní a hltanu.,mírně travnatý,slabý zelený,neaplikovatelné,"Záměna druhu není velké riziko, ale sběr z kontaminovaných trávníků ano.",V těhotenství a při kojení nejsou dostatečná data; jiné interakce nejsou hlášeny.,Běžný sběr mimo znečištěná místa.,EMA monografie / assessment report,A,5,False,False,False,Sirup / koncentrát,1,True,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé až plně vyvinuté listy; v datech je pro něj vedené období IV–IX. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Kvůli riziku záměny sbírej jen tehdy, když máš druh jistě určený i podle určovacích znaků; při nejistotě nesklízej. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Jeden z nejpraktičtějších „terénních“ českých listových léčivých zdrojů.
r042,plant_plantago_lanceolata,R042,jitrocel kopinatý,list,listova_nadzemni_cast,False,fytoterapie,fytoterapie,obklad / omývání / kožní použití,zevni_aplikace,méně známé,mene_zname,vysoká,vysoka,"louky, meze, okraje cest mimo kontaminaci",IV–IX,4,9,čerstvé nebo sušené listy,Silnější nálev či macerát pro obklady a omývání drobných kožních zánětů.,Zevní tradiční použití na drobné zánětlivé projevy kůže.,neaplikovatelné,zeleně bylinný,neaplikovatelné,Sběr z nečistých míst je hlavní praktické riziko.,Při zhoršení nebo větším rozsahu kožních potíží vyšetřit příčinu.,Běžně možné.,EMA assessment report,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: čerstvé nebo sušené listy; v datech je pro něj vedené období IV–IX. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Oddělené zevní použití zvyšuje jemnost databáze.
r043,plant_plantago_lanceolata,R043,jitrocel kopinatý,mladé listy,listova_nadzemni_cast,False,potrava,potrava,syrový salát / jarní zelenina,cerstva_potrava,globální analog,globalni_analog,střední,stredni,"louky, meze, zahrady, pastviny mimo postřiky",IV–V,4,5,mladé křehké listy před tuhnutím vláken,Použít malé až střední množství syrově nebo krátce povařit.,Terénní jedlá zeleň s mírně trávovou chutí.,"lehce travnatý, jemně nahořklý",slabý,neaplikovatelné,Starší listy bývají tuhé a vláknité; kontaminované trávníky nevhodné.,Bez zvláštních známých interakcí v potravním množství.,"V ČR snadno dostupný, ale potravní užití je spíše málo známé.",středomořsko-středoevropská etnobotanika,C,3,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé křehké listy před tuhnutím vláken; v datech je pro něj vedené období IV–V. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Pěkný příklad jedlého využití běžné „léčivky“.
r044,plant_carum_carvi,R044,kmín kořenný,plod,plodova_cast,False,pití,piti,nálev / digestivní čaj,caj_nalev,méně známé,mene_zname,vysoká,vysoka,"louky, pole, pěstované porosty, sušší travnatá stanoviště",V–VIII,5,8,zralé až dosychající plody,Pomačkané plody zalít vroucí vodou a krátce louhovat.,Aromatický trávicí čaj vhodný po těžším jídle.,"kořenitý, teplý",kořenitě kmínový,neaplikovatelné,Silná chuť není pro každého; záměna s některými miříkovitými by byla riziková při laickém sběru.,U velmi citlivých osob možná dráždivost; při sběru nutná dobrá determinace.,Nejsnáze z pěstovaného nebo spolehlivě určeného zdroje.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: zralé až dosychající plody; v datech je pro něj vedené období V–VIII. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Kvůli riziku záměny sbírej jen tehdy, když máš druh jistě určený i podle určovacích znaků; při nejistotě nesklízej. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Dobré spojení kuchyně a fytoterapie.
r045,plant_carum_carvi,R045,kmín kořenný,plod,plodova_cast,False,fytoterapie,fytoterapie,nálev / tradiční bylinný přípravek,caj_nalev,mainstream,mainstream,vysoká,vysoka,"pole, louky, pěstované záhony",V–VIII,5,8,zralé plody,Krátkodobé užití jako nálev nebo standardizovanější přípravek.,Tradičně pro nadýmání a plynatost.,kořenitý,silně kmínový,neaplikovatelné,Nenahrazuje řešení přetrvávajících nebo silných GI potíží.,U dětí do 12 let EMA čajové dávkování nedoporučuje; při přetrvávání obtíží konzultace.,Preferovat pěstovaný nebo jistě určený materiál.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: zralé plody; v datech je pro něj vedené období V–VIII. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Silná formální opora.
r046,plant_rubus_idaeus,R046,maliník obecný,plod,plodova_cast,False,potrava a pití,potrava_a_piti,čerstvé plody / sirup / džem,sirup_koncentrat,mainstream,mainstream,vysoká,vysoka,"lesní paseky, okraje lesů, křoviny, zahrady",VI–VIII,6,8,plně zralé plody,"Jíst čerstvé nebo zpracovat na sirup, džem či ocet.","Výživný plod, surovina pro nápoje i konzervaci.","sladkokyselý, ovocný",ovocně malinový,neaplikovatelné,Rychle podléhá zkáze; kontaminace plísní při přezrání.,Bez zvláštních interakcí v potravním množství.,Běžný sběr mimo chráněné lokality a cizí pozemky.,česká etnobotanika,B,4,False,False,False,Sirup / koncentrát · Zavaření / sterilace ve sklenici · Naložení do octa / ocet · Cukrování / kandování / džem,4,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plně zralé plody; v datech je pro něj vedené období VI–VIII. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Každou dávku hned protřiď; plesnivý, nahnilý nebo hmyzem poškozený materiál vyřaď. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Prakticky velmi vysoká hodnota.
r047,plant_rubus_idaeus,R047,maliník obecný,list,listova_nadzemni_cast,False,pití,piti,čaj / lehká náhražka černého čaje,caj_nalev,méně známé,mene_zname,vysoká,vysoka,"lesní okraje, paseky, zahrady",V–VIII,5,8,mladší zdravé listy,List sušit a použít samostatně nebo ve směsích; nálev bývá lehce tříslovitý.,Jemně svíravý nápoj a historická domácí čajová složka.,"tříslovitý, lehce nahořklý",slabý listový,neaplikovatelné,Příliš staré listy bývají hrubé a chuťově horší.,Není to totéž jako plod; hlavní limit je chuť a kvalita sušení.,Běžně možné.,EMA shrnutí + assessment report,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladší zdravé listy; v datech je pro něj vedené období V–VIII. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Pěkný most mezi potravou a léčebným použitím.
r048,plant_rubus_idaeus,R048,maliník obecný,list,listova_nadzemni_cast,False,fytoterapie,fytoterapie,nálev / oromukózní infuze,caj_nalev,méně známé,mene_zname,vysoká,vysoka,"lesní okraje, paseky, zahrady",V–VIII,5,8,zdravé listy po plném rozvinutí,Infuze listu pro krátkodobé tradiční užití.,"Tradičně při mírném průjmu, drobném zánětu dutiny ústní a hrdla a při menstruačních křečích.",tříslovitý,slabý,neaplikovatelné,"Jde o tradiční, nikoli robustně klinicky potvrzené použití.",EMA uvádí jen tradiční oporu; při zhoršení stavu lékař.,Bez zvláštních právních omezení.,EMA shrnutí,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: zdravé listy po plném rozvinutí; v datech je pro něj vedené období V–VIII. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Zajímavé, protože v českém prostředí se zná spíš plod než list."
r049,plant_vaccinium_myrtillus,R049,borůvka černá,plod,plodova_cast,False,potrava a pití,potrava_a_piti,čerstvé plody / sušení / sirup / kompot,sirup_koncentrat,mainstream,mainstream,vysoká,vysoka,"acidofilní lesy, paseky, vřesoviště, horské a podhorské lesy",VII–IX,7,9,plně zralé plody,"Jíst čerstvé nebo zpracovat na sirup, kompot, džem či sušený plod.",Výživný lesní plod s vysokou praktickou hodnotou.,"sladkokyselý, lesní",ovocně lesní,neaplikovatelné,Snadné znečištění od zeminy a plísní; pozor na záměnu s okrasnými kultivary u zahrad.,Bez zvláštních interakcí v běžném množství.,Běžný sběr v souladu s místními pravidly.,česká etnobotanika,B,4,False,False,False,Sušení · Sirup / koncentrát · Zavaření / sterilace ve sklenici · Cukrování / kandování / džem · Kompot,5,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plně zralé plody; v datech je pro něj vedené období VII–IX. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Kvůli riziku záměny sbírej jen tehdy, když máš druh jistě určený i podle určovacích znaků; při nejistotě nesklízej. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Každou dávku hned protřiď; plesnivý, nahnilý nebo hmyzem poškozený materiál vyřaď. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Stabilní český lesní standard.
r050,plant_fragaria_vesca,R050,jahodník obecný,plod,plodova_cast,False,potrava,potrava,čerstvé plody / sirup / sušení,sirup_koncentrat,mainstream,mainstream,vysoká,vysoka,"světlé lesy, paseky, meze, stráně, zahrady",V–VII,5,7,plně zralé plody,Sbírat zralé plody; lze jíst čerstvé i zpracovat.,"Drobný, ale velmi aromatický lesní plod.","silně aromatický, sladký",jahodově ovocný,neaplikovatelné,Nízká výtěžnost; snadno se rozmačká a kazí.,Bez zvláštních interakcí v potravním množství.,Běžně možné.,česká etnobotanika,B,4,False,False,False,Sušení · Sirup / koncentrát,2,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plně zralé plody; v datech je pro něj vedené období V–VII. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Vysoká chuťová hodnota, nižší výnos."
r051,plant_fragaria_vesca,R051,jahodník obecný,list,listova_nadzemni_cast,False,pití,piti,listový čaj,caj_nalev,méně známé,mene_zname,vysoká,vysoka,"světlé lesy, meze, zahrady",V–VIII,5,8,zdravé listy po rozvinutí,List sušit a používat do jemných domácích směsí nebo samostatně.,Lehký domácí bylinný čaj s lesním profilem.,"jemně travnatý, lehce tříslovitý",slabě zelený,neaplikovatelné,Nízká chuťová intenzita; sběr z prašných míst nevhodný.,Bez významných známých interakcí v běžném čajovém užití.,Běžně možné.,česká etnobotanika,C,3,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: zdravé listy po rozvinutí; v datech je pro něj vedené období V–VIII. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Dobrá méně známá doplňková položka.
r052,plant_allium_ursinum,R052,česnek medvědí,list,listova_nadzemni_cast,False,potrava,potrava,jarní zelenina / pesto / pomazánka,cerstva_potrava,mainstream,mainstream,vysoká,vysoka,"vlhčí listnaté lesy, lužní lesy, stinné nivy",III–V,3,5,mladé listy před a na začátku květu,"Použít čerstvé do pomazánek, pesta, polévek nebo krátce tepelně upravit.",Intenzivní jarní aromatická zelenina.,"česnekový, svěží",silně česnekový,neaplikovatelné,"Kritické riziko záměny s konvalinkou, ocúnem a áronem.",Nevhodné sbírat bez stoprocentní determinace.,Sběr jen při jisté identifikaci a mimo chráněné režimy.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé listy před a na začátku květu; v datech je pro něj vedené období III–V. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Kvůli riziku záměny sbírej jen tehdy, když máš druh jistě určený i podle určovacích znaků; při nejistotě nesklízej. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Vysoká praktická hodnota, ale i vysoké riziko záměny."
r053,plant_aegopodium_podagraria,R053,bršlice kozí noha,mladé listy a vrcholy,listova_nadzemni_cast,False,potrava,potrava,jarní zelenina / polévka / špenát,cerstva_potrava,méně známé,mene_zname,vysoká,vysoka,"zahrady, příkopy, stinnější okraje cest, křoviny, ruderály",III–V,3,5,mladé světle zelené listy před zhrubnutím,Použít jen mladé listy; starší bývají vláknité a méně chutné.,Dobře dostupná jarní zeleň s vysokým výnosem.,"kořenitě zelený, petrželový",slabě kořenitý,neaplikovatelné,U starších listů rychle klesá kvalita; laický sběr miříkovitých vyžaduje opatrnost.,Hlavní limit je správná determinace a kontaminace městských porostů.,Prakticky často dostupná na zahradách.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé světle zelené listy před zhrubnutím; v datech je pro něj vedené období III–V. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Kvůli riziku záměny sbírej jen tehdy, když máš druh jistě určený i podle určovacích znaků; při nejistotě nesklízej. U vodních a mokřadních stanovišť sbírej jen z čistých míst bez známek splachů, stok nebo stojaté znečištěné vody. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Typický příklad běžné „plevelné“ potraviny s vysokou praktickou hodnotou.
r054,plant_rumex_acetosa,R054,šťovík kyselý,mladé listy,listova_nadzemni_cast,False,potrava,potrava,salát / polévka / zelená omáčka,cerstva_potrava,mainstream,mainstream,vysoká,vysoka,"louky, zahrady, meze, vlhčí travnatá stanoviště",III–VI,3,6,mladé listy před tuhnutím a před tvorbou tuhých lodyh,Používat střídmě jako kyselou zelenou složku jídel.,Kyselá jarní zeleň pro polévky a omáčky.,výrazně kyselý,svěže zelený,neaplikovatelné,Obsah oxalátů; ve větším množství nebo při častém užití nevhodný pro citlivé osoby.,Opatrnost u ledvinových kamenů a omezení oxalátů.,Běžný sběr mimo kontaminovaná místa.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé listy před tuhnutím a před tvorbou tuhých lodyh; v datech je pro něj vedené období III–VI. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Silně chuťový, ale ne univerzální."
r055,plant_filipendula_ulmaria,R055,tužebník jilmový,květ,kvetni_cast,False,pití,piti,aromatický nálev / čaj,caj_nalev,méně známé,mene_zname,střední,stredni,"vlhké louky, břehy vod, příkopy, nivy",VI–VIII,6,8,rozvinuté vonné laty,Sušit květy šetrně; použít na výrazně aromatický nálev nebo směs.,Aromatický nápoj s medově mandlovým profilem.,"nasládle květový, lehce mandlový","sladce luční, mandlový",neaplikovatelné,Silná vůně nemusí vyhovovat každému; sběr z mokrých znečištěných lokalit nevhodný.,Opatrnost u citlivosti na salicyláty.,Běžný sběr mimo chráněné režimy.,EMA stránka / tradiční evropské užití,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: rozvinuté vonné laty; v datech je pro něj vedené období VI–VIII. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. U vodních a mokřadních stanovišť sbírej jen z čistých míst bez známek splachů, stok nebo stojaté znečištěné vody. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Na pomezí nápoje, vůně a léčebné tradice."
r056,plant_filipendula_ulmaria,R056,tužebník jilmový,květ,kvetni_cast,False,fytoterapie,fytoterapie,nálev / tradiční bylinný přípravek,caj_nalev,méně známé,mene_zname,střední,stredni,"vlhké louky, nivy, břehy potoků",VI–VIII,6,8,plné kvetení,Krátkodobé tradiční užití v čaji nebo směsi.,"Tradičně v oblasti nachlazení, bolesti a zánětu, s oporou v evropské monografii.",jemně nasládlý,medově květový,neaplikovatelné,Opatrnost u osob citlivých na salicyláty; nejde o univerzální samoléčbu bolesti.,Nekombinovat lehkovážně se salicyláty/NSAIDs bez rozmyslu.,Sběr běžně možný mimo zvláštní ochranu.,EMA stránka / evropská monografie,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: plné kvetení; v datech je pro něj vedené období VI–VIII. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. U vodních a mokřadních stanovišť sbírej jen z čistých míst bez známek splachů, stok nebo stojaté znečištěné vody. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Dobrá „bridge“ položka mezi tradiční fytoterapií a modernější opatrností.
r057,plant_picea_abies,R057,smrk ztepilý,mladé výhonky,vyhonky_a_pupeny,False,pití,piti,sirup / čaj / limonáda,caj_nalev,globální analog,globalni_analog,vysoká,vysoka,"hory, podhůří, kulturní smrčiny, zahrady a parky",IV–V,4,5,světle zelené čerstvé jarní výhonky,"Z mladých výhonků připravit sirup, krátký nálev nebo aromatickou limonádovou složku.",Výrazně pryskyřičně-citrusový nápojový zdroj.,"pryskyřičný, citrusově lesní",silně lesně pryskyřičný,neaplikovatelné,Nadměrný sběr poškozuje mladý růst; sbírat jen střídmě.,Opatrnost u citlivých osob na pryskyřičné složky.,"Preferovat vlastní stromy nebo sběr z míst, kde tím nepoškodíš porost.",karpatská/středoevropská etnobotanika,C,3,True,False,False,Sirup / koncentrát,1,True,"Sbírej jen správně určený, zdravý materiál v této fázi: světle zelené čerstvé jarní výhonky; v datech je pro něj vedené období IV–V. Ber jen malé množství mladých výhonků nebo pupenů z více rostlin; neotrhej všechny vrcholové pupeny jedné dřeviny. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Výborná praktická položka pro vůni i pití, ale sběr musí být jemný."
